DATE	C
1976-01-01   1	61.2
1976-02-01   1	64.2
1976-03-01   1	64.5
1976-04-01   1	67.6
1976-05-01   1	62.2
1976-06-01   1	67.9
1976-07-01   1	69.7
1976-08-01   1	68.7
1976-09-01   1	71.2
1976-10-01   1	70.9
1976-11-01   1	73.2
1976-12-01   1	82.2
1977-01-01   1	77.8
1977-02-01   1	84.1
1977-03-01   1	89.9
1977-04-01   1	88.9
1977-05-01   1	88.6
1977-06-01   1	90.2
1977-07-01   1	91.7
1977-08-01   1	94.2
1977-09-01   1	96.1
1977-10-01   1	97.1
1977-11-01   2	0.8
1977-12-01   2	4.2
1978-01-01   1	91.2
1978-02-01   1	98.5
1978-03-01   2	4.7
1978-04-01   2	13.5
1978-05-01   2	17
1978-06-01   2	18.1
1978-07-01   2	15.3
1978-08-01   2	21.8
1978-09-01   2	13.1
1978-10-01   2	20.3
1978-11-01   2	22.3
1978-12-01   2	24.2
1979-01-01   2	20.5
1979-02-01   2	24
1979-03-01   2	25.3
1979-04-01   2	22.7
1979-05-01   2	24.4
1979-06-01   2	19.3
1979-07-01   2	26
1979-08-01   2	31.3
1979-09-01   2	35.4
1979-10-01   2	28.3
1979-11-01   2	29
1979-12-01   2	29.9
1980-01-01   2	39.6
1980-02-01   2	32.9
1980-03-01   2	23.6
1980-04-01   2	12.4
1980-05-01   2	8.5
1980-06-01   2	14.9
1980-07-01   2	26.7
1980-08-01   2	24
1980-09-01   2	25.4
1980-10-01   2	36.3
1980-11-01   2	36.7
1980-12-01   2	35.7
1981-01-01   2	39.9
1981-02-01   2	47.3
1981-03-01   2	50.9
1981-04-01   2	41.7
1981-05-01   2	39.8
1981-06-01   2	41.4
1981-07-01   2	45.2
1981-08-01   2	60.4
1981-09-01   2	50.2
1981-10-01   2	37.3
1981-11-01   2	37
1981-12-01   2	36.3
1982-01-01   2	41
1982-02-01   2	49.3
1982-03-01   2	49
1982-04-01   2	44.9
1982-05-01   2	56.8
1982-06-01   2	46
1982-07-01   2	47.8
1982-08-01   2	48.6
1982-09-01   2	60
1982-10-01   2	54.1
1982-11-01   2	68.1
1982-12-01   2	70.8
1983-01-01   2	68.3
1983-02-01   2	66.8
1983-03-01   2	71.6
1983-04-01   2	81.7
1983-05-01   2	88.8
1983-06-01   2	98.2
1983-07-01   3	3.4
1983-08-01   3	1.2
1983-09-01   3	2.6
1983-10-01   3	13.7
1983-11-01   3	15.9
1983-12-01   3	28.3
1984-01-01   3	36.8
1984-02-01   3	28.7
1984-03-01   3	28.8
1984-04-01   3	36
1984-05-01   3	41.7
1984-06-01   3	46.1
1984-07-01   3	41.5
1984-08-01   3	39.7
1984-09-01   3	45
1984-10-01   3	43
1984-11-01   3	58.4
1984-12-01   3	60.1
1985-01-01   3	65.5
1985-02-01   3	64.9
1985-03-01   3	73.6
1985-04-01   3	65.7
1985-05-01   3	84.3
1985-06-01   3	69.7
1985-07-01   3	76.3
1985-08-01   3	90.3
1985-09-01   4	22.7
1985-10-01   3	79.2
1985-11-01   3	80.8
1985-12-01   3	91.2
1986-01-01   4	1.4
1986-02-01   3	89.4
1986-03-01   3	84.1
1986-04-01   4	4
1986-05-01   4	14.2
1986-06-01   4	3.7
1986-07-01   4	15.9
1986-08-01   4	34.4
1986-09-01   4	86.8
1986-10-01   4	34.9
1986-11-01   4	20
1986-12-01   4	68.5
1987-01-01   3	99.7
1987-02-01   4	27
1987-03-01   4	28.8
1987-04-01   4	37.6
1987-05-01   4	34
1987-06-01   4	45.7
1987-07-01   4	52.4
1987-08-01   4	68.9
1987-09-01   4	60.3
1987-10-01   4	43.1
1987-11-01   4	47.4
1987-12-01   4	59.4
1988-01-01   4	70.3
1988-02-01   4	68.7
1988-03-01   4	72.4
1988-04-01   4	67.8
1988-05-01   4	74.7
1988-06-01   4	77.3
1988-07-01   4	72.4
1988-08-01   4	70.1
1988-09-01   4	68.7
1988-10-01   4	77.9
1988-11-01   4	81.8
1988-12-01   4	98.9
1989-01-01   4	96.2
1989-02-01   4	81.3
1989-03-01   4	81.9
1989-04-01   5	0.4
1989-05-01   4	87.6
1989-06-01   4	92
1989-07-01   4	97.4
1989-08-01   5	18.7
1989-09-01   5	0.8
1989-10-01   4	93.9
1989-11-01   4	90.1
1989-12-01   4	91.6
1990-01-01   5	36.4
1990-02-01   5	5.9
1990-03-01   5	3.8
1990-04-01   5	5.7
1990-05-01   4	95.3
1990-06-01   4	94.3
1990-07-01   4	96.3
1990-08-01   4	89.3
1990-09-01   4	95.1
1990-10-01   4	86.1
1990-11-01   4	82.7
1990-12-01   4	74
1991-01-01   4	52.7
1991-02-01   4	67
1991-03-01   4	95.4
1991-04-01   4	74.4
1991-05-01   4	73.5
1991-06-01   4	77.8
1991-07-01   4	85.4
1991-08-01   4	79.8
1991-09-01   4	87.9
1991-10-01   4	74.1
1991-11-01   4	77.3
1991-12-01   4	80.9
1992-01-01   4	95.6
1992-02-01   5	1.3
1992-03-01   4	91.7
1992-04-01   4	90
1992-05-01   5	1.9
1992-06-01   5	11
1992-07-01   5	7.2
1992-08-01   5	11.9
1992-09-01   5	17.1
1992-10-01   5	22.7
1992-11-01   5	14.1
1992-12-01   5	32.4
1993-01-01   5	38.1
1993-02-01   5	24.2
1993-03-01   5	21.2
1993-04-01   5	43
1993-05-01   5	52
1993-06-01   5	48.6
1993-07-01   5	58.6
1993-08-01   5	51.5
1993-09-01   5	59.8
1993-10-01   5	68.9
1993-11-01   5	74.2
1993-12-01   5	78.3
1994-01-01   5	79.6
1994-02-01   5	93.3
1994-03-01   5	93.6
1994-04-01   6	7
1994-05-01   5	88.9
1994-06-01   6	0.3
1994-07-01   6	2.1
1994-08-01   6	12
1994-09-01   6	13.8
1994-10-01   6	29.6
1994-11-01   6	35.1
1994-12-01   6	30.7
1995-01-01   6	23.6
1995-02-01   6	13
1995-03-01   6	27.2
1995-04-01   6	13.2
1995-05-01   6	24.8
1995-06-01   6	42.8
1995-07-01   6	31
1995-08-01   6	45.3
1995-09-01   6	51.3
1995-10-01   6	38.1
1995-11-01   6	50.6
1995-12-01   6	68
1996-01-01   6	45.8
1996-02-01   6	63.2
1996-03-01   6	70.4
1996-04-01   6	79.5
1996-05-01   6	80.1
1996-06-01   6	69.4
1996-07-01   6	72.9
1996-08-01   6	81.7
1996-09-01   6	83.6
1996-10-01   6	88.8
1996-11-01   6	92.2
1996-12-01   6	87.8
1997-01-01   7	3.3
1997-02-01   7	2
1997-03-01   7	11.5
1997-04-01   6	97.5
1997-05-01   6	90.2
1997-06-01   7	2.1
1997-07-01   7	15.7
1997-08-01   7	32.6
1997-09-01   7	20
1997-10-01   7	24.7
1997-11-01   7	40.8
1997-12-01   7	46.1
1998-01-01   7	33
1998-02-01   7	39.4
1998-03-01   7	40.7
1998-04-01   7	58.1
1998-05-01   7	78.3
1998-06-01   7	71.3
1998-07-01   7	69.4
1998-08-01   7	84.9
1998-09-01   8	0.9
1998-10-01   8	19.4
1998-11-01   8	17.9
1998-12-01   8	38.2
1999-01-01   8	8.4
1999-02-01   8	24.1
1999-03-01   8	27.4
1999-04-01   8	41.3
1999-05-01   8	55.4
1999-06-01   8	67.7
1999-07-01   8	65.2
1999-08-01   8	71.9
1999-09-01   8	76.4
1999-10-01   8	68
1999-11-01   8	71.2
1999-12-01   8	89.8
2000-01-01   9	8.6
2000-02-01   9	30.7
2000-03-01   9	23.3
2000-04-01   9	0.6
2000-05-01   9	7
2000-06-01   8	98.2
2000-07-01   8	97.3
2000-08-01   9	6.4
2000-09-01   9	31.3
2000-10-01   9	20.6
2000-11-01   9	13.4
2000-12-01   9	13.5
2001-01-01   9	16.5
2001-02-01   9	38.9
2001-03-01   9	25.1
2001-04-01   9	8.3
2001-05-01   9	16
2001-06-01   9	34.1
2001-07-01   9	25
2001-08-01   9	42.5
2001-09-01   9	4.1
2001-10-01  10	35.1
2001-11-01   9	97
2001-12-01   9	55.6
2002-01-01   9	69.5
2002-02-01   9	80.8
2002-03-01   9	74.5
2002-04-01  10	0.8
2002-05-01   9	61.1
2002-06-01   9	77.1
2002-07-01  10	6.3
2002-08-01  10	24.9
2002-09-01   9	79.4
2002-10-01   9	68.9
2002-11-01   9	75
2002-12-01  10	6.1
2003-01-01   9	85.5
2003-02-01   9	57.4
2003-03-01   9	79.1
2003-04-01  10	2.3
2003-05-01  10	5
2003-06-01  10	16.3
2003-07-01  10	29.1
2003-08-01  10	61.5
2003-09-01  10	36.2
2003-10-01  10	35.2
2003-11-01  10	55.4
2003-12-01  10	47.4
2004-01-01  10	47.3
2004-02-01  10	62.7
2004-03-01  10	76.9
2004-04-01  10	66.4
2004-05-01  10	94.4
2004-06-01  10	54.1
2004-07-01  10	81.6
2004-08-01  10	71.3
2004-09-01  10	99.8
2004-10-01  10	92.3
2004-11-01  10	92.2
2004-12-01  11	18.8
2005-01-01  11	2.4
2005-02-01  11	8.7
2005-03-01  11	20.5
2005-04-01  11	54.9
2005-05-01  11	7.7
2005-06-01  11	59.2
2005-07-01  11	97.8
2005-08-01  11	33.4
2005-09-01  11	5
2005-10-01  10	94.1
2005-11-01  11	13.5
2005-12-01  11	29.6
2006-01-01  11	63.4
2006-02-01  11	46.1
2006-03-01  11	50.5
2006-04-01  11	52.4
2006-05-01  11	38.7
2006-06-01  11	49.9
2006-07-01  11	65.6
2006-08-01  11	46.4
2006-09-01  11	61.8
2006-10-01  11	62
2006-11-01  11	61.9
2006-12-01  11	74.5
2007-01-01  11	75.3
2007-02-01  11	72.7
2007-03-01  11	72.1
2007-04-01  11	76.1
2007-05-01  11	96.2
2007-06-01  11	82.5
2007-07-01  11	79.4
2007-08-01  11	89.2
2007-09-01  12	2
2007-10-01  11	99.4
2007-11-01  11	92.6
2007-12-01  11	78.1
2008-01-01  11	67.1
2008-02-01  11	46.7
2008-03-01  11	43.2
2008-04-01  11	40.3
2008-05-01  11	44.9
2008-06-01  11	34.4
2008-07-01  11	6.6
2008-08-01  11	22.6
2008-09-01  10	76.3
2008-10-01  10	28
2008-11-01  10	19
2008-12-01   9	98.4
2009-01-01  10	28.8
2009-02-01  10	10.4
2009-03-01   9	96.8
2009-04-01   9	88.8
2009-05-01  10	8.7
2009-06-01  10	16.7
2009-07-01  10	30.5
2009-08-01  11	3.3
2009-09-01  10	3.7
2009-10-01  10	14.7
2009-11-01  10	37.8
2009-12-01  10	39.5
2010-01-01  10	25.6
2010-02-01  10	25
2010-03-01  10	69.9
2010-04-01  10	63.5
2010-05-01  10	64.5
2010-06-01  10	66
2010-07-01  10	69.8
2010-08-01  10	76.5
2010-09-01  10	78.9
2010-10-01  11	4.9
2010-11-01  11	2.3
2010-12-01  11	1.2
2011-01-01  11	7.4
2011-02-01  11	12.3
2011-03-01  11	25.5
2011-04-01  11	25.4
2011-05-01  11	14.5
2011-06-01  11	10
2011-07-01  11	26.7
2011-08-01  11	21.7
2011-09-01  11	38.7
2011-10-01  11	60.1
2011-11-01  11	57.5
2011-12-01  11	59.2
2012-01-01  11	73.1
2012-02-01  11	88.5
2012-03-01  11	91.3
2012-04-01  11	88.6
2012-05-01  11	87.5
2012-06-01  11	91.7
2012-07-01  11	95.7
2012-08-01  12	3.2
2012-09-01  12	20.6
2012-10-01  12	11.8
2012-11-01  12	36.2
2012-12-01  12	44
2013-01-01  12	43.5
2013-02-01  12	46.3
2013-03-01  12	44.7
2013-04-01  12	50.2
2013-05-01  12	54.8
2013-06-01  12	67.4
2013-07-01  12	67.3
2013-08-01  12	85.2
2013-09-01  12	69.4
2013-10-01  12	76.8
2013-11-01  12	91.8
2013-12-01  12	58.3
2014-01-01  12	46.5
2014-02-01  12	62.8
2014-03-01  13	5.6
2014-04-01  12	94.5
2014-05-01  13	3.9
