Observation	Time	year	Quarter	Time	GDP	C	I	G	NX	GDPDef
183	33786	1992	Q3	1992.5	6586.5	4245.4	1024.2	1355.4	-38.5	0.707222007
184	33878	1992	Q4	1992.75	6697.6	4326.2	1058	1360.5	-47.1	0.712018285
185	33970	1993	Q1	1993	6748.2	4368.5	1083.9	1351.5	-55.7	0.716057767
186	34060	1993	Q2	1993.25	6829.6	4437.5	1094.5	1360.8	-63.2	0.720414342
187	34151	1993	Q3	1993.5	6904.2	4506	1095.9	1370.7	-68.4	0.724751477
188	34243	1993	Q4	1993.75	7032.8	4572	1153	1381.2	-73.4	0.728523334
189	34335	1994	Q1	1994	7136.3	4640.8	1202.1	1374	-80.6	0.732063355
190	34425	1994	Q2	1994.25	7269.8	4702.9	1265.1	1392.4	-90.6	0.735705467
191	34516	1994	Q3	1994.5	7352.3	4773.1	1251.6	1424.5	-96.9	0.739690333
192	34608	1994	Q4	1994.75	7476.7	4847.2	1307.2	1424.2	-101.9	0.743765233
193	34700	1995	Q1	1995	7545.3	4883.4	1327.3	1439.9	-105.3	0.748029623
194	34790	1995	Q2	1995.25	7604.9	4955	1303.8	1455.6	-109.5	0.751316426
195	34881	1995	Q3	1995.5	7706.5	5020.5	1303.2	1457.2	-74.4	0.75488794
196	34973	1995	Q4	1995.75	7799.5	5077.9	1335.6	1455.8	-69.8	0.758617671
197	35065	1996	Q1	1996	7893.1	5153.8	1355.2	1472.9	-88.8	0.762714157
198	35156	1996	Q2	1996.25	8061.5	5244.2	1418.6	1492.4	-93.7	0.765618174
199	35247	1996	Q3	1996.5	8159	5298.3	1474.4	1500.5	-114.2	0.767775812
200	35339	1996	Q4	1996.75	8287.1	5376.1	1480	1519.8	-88.8	0.771675466
201	35431	1997	Q1	1997	8402.1	5456.7	1522	1532.2	-108.8	0.77646961
202	35521	1997	Q2	1997.25	8551.9	5495.1	1589.9	1552.1	-85.2	0.778563755
203	35612	1997	Q3	1997.5	8691.8	5603.5	1625.3	1559.8	-96.8	0.781355627
204	35704	1997	Q4	1997.75	8788.3	5687.6	1645.3	1572.4	-117	0.78394869
205	35796	1998	Q1	1998	8889.7	5745.9	1712.3	1566.7	-135.2	0.785225948
206	35886	1998	Q2	1998.25	8994.7	5857.8	1694.8	1604.4	-162.3	0.78686904
207	35977	1998	Q3	1998.5	9146.5	5952.8	1739.8	1628.5	-174.6	0.789812272
208	36069	1998	Q4	1998.75	9325.7	6055.6	1794.4	1654.4	-178.7	0.792280833
209	36161	1999	Q1	1999	9447.1	6134.7	1850.6	1670.3	-208.5	0.796235893
210	36251	1999	Q2	1999.25	9557	6263.1	1845.8	1693.5	-245.4	0.798913271
211	36342	1999	Q3	1999.5	9712.3	6371.4	1890.9	1726.1	-276.1	0.801801356
212	36434	1999	Q4	1999.75	9926.1	6498.5	1949.4	1774.7	-296.5	0.805474183
213	36526	2000	Q1	2000	10031	6652.8	1945.9	1785.1	-352.8	0.811628678
214	36617	2000	Q2	2000.25	10278.3	6745.3	2071.8	1820.8	-359.6	0.816223943
215	36708	2000	Q3	2000.5	10357.4	6854.6	2055.8	1835.5	-388.5	0.821513837
216	36800	2000	Q4	2000.75	10472.3	6953.8	2061.6	1859.3	-402.4	0.825936763
217	36892	2001	Q1	2001	10508.1	7025.3	1967.5	1907	-391.7	0.83112004
218	36982	2001	Q2	2001.25	10638.4	7078	1967	1952.7	-359.3	0.836990472
219	37073	2001	Q3	2001.5	10639.5	7107.3	1937.3	1961.6	-366.7	0.839732914
220	37165	2001	Q4	2001.75	10701.3	7216.9	1842.7	1998.7	-357	0.842270549
221	37257	2002	Q1	2002	10834.4	7253.2	1910	2046.5	-375.3	0.844965412
222	37347	2002	Q2	2002.25	10934.8	7347.9	1925.6	2077.3	-416	0.848119134
223	37438	2002	Q3	2002.5	11037.1	7437.5	1927.9	2103.3	-431.6	0.851904166
224	37530	2002	Q4	2002.75	11103.8	7502.6	1936.5	2147.7	-483	0.856510336
225	37622	2003	Q1	2003	11230.1	7593.1	1960.2	2178.4	-501.6	0.861785561
226	37712	2003	Q2	2003.25	11370.7	7685.2	1970.5	2216.4	-501.4	0.86455395
227	37803	2003	Q3	2003.5	11625.1	7844.6	2048.3	2232.1	-499.9	0.869335347
228	37895	2003	Q4	2003.75	11816.8	7934.5	2132.8	2261.2	-511.7	0.873461604
229	37987	2004	Q1	2004	11988.4	8076.8	2155.2	2303	-546.6	0.881078896
230	38078	2004	Q2	2004.25	12181.4	8183.6	2259.5	2346.3	-608	0.888751076
231	38169	2004	Q3	2004.5	12367.7	8309.3	2311.3	2385.1	-638	0.894214362
232	38261	2004	Q4	2004.75	12562.2	8461.3	2380.8	2404.1	-684	0.900490309
233	38353	2005	Q1	2005	12813.7	8573.5	2475.2	2441.8	-676.8	0.90883106
234	38443	2005	Q2	2005.25	12974.1	8720.5	2469.5	2473.2	-689.1	0.915428958
235	38534	2005	Q3	2005.5	13205.4	8882	2527.2	2527.6	-731.4	0.923984383
236	38626	2005	Q4	2005.75	13381.6	8985.3	2636.5	2547.3	-787.5	0.930997537
237	38718	2006	Q1	2006	13648.9	9128.1	2699.7	2598.3	-777.2	0.938320237
238	38808	2006	Q2	2006.25	13799.8	9247.2	2697	2637.2	-781.6	0.945865548
239	38899	2006	Q3	2006.5	13908.5	9369.6	2684.4	2660.1	-805.6	0.952467369
240	38991	2006	Q4	2006.75	14066.4	9444.9	2641.6	2699.3	-719.4	0.955799115
241	39083	2007	Q1	2007	14233.2	9588.5	2634.2	2739	-728.5	0.96653538
242	39173	2007	Q2	2007.25	14422.3	9696.7	2671.9	2786.7	-733	0.971938243
243	39264	2007	Q3	2007.5	14569.7	9790.2	2658.2	2833.4	-712.1	0.975312113
244	39356	2007	Q4	2007.75	14685.3	9902.5	2610.6	2872.8	-700.6	0.97955549
245	39448	2008	Q1	2008	14668.4	9967.2	2527	2931	-756.8	0.985150609
246	39539	2008	Q2	2008.25	14813	10090.4	2493.3	2988.7	-759.4	0.989948808
247	39630	2008	Q3	2008.5	14843	10113.2	2435.9	3067.5	-773.6	0.996736415
248	39722	2008	Q4	2008.75	14549.9	9851.4	2243.1	3057.8	-602.4	0.998140907
249	39814	2009	Q1	2009	14383.9	9763.3	1972.1	3042.4	-393.9	1.00061913
250	39904	2009	Q2	2009.25	14340.4	9764.9	1825.9	3091.3	-341.7	0.99894118
251	39995	2009	Q3	2009.5	14384.1	9887.4	1786.4	3115.9	-405.6	0.998722444
252	40087	2009	Q4	2009.75	14566.5	9956.2	1928	3122.9	-440.6	1.001691663
253	40179	2010	Q1	2010	14681.1	10042.3	1989.5	3138	-488.7	1.00522431
254	40269	2010	Q2	2010.25	14888.6	10134.7	2092.7	3184.4	-523.2	1.009677266
255	40360	2010	Q3	2010.5	15057.7	10234.3	2164.6	3193.8	-535	1.014293894
256	40452	2010	Q4	2010.75	15230.2	10396.3	2156.5	3181.1	-503.7	1.019492603
257	40544	2011	Q1	2011	15238.4	10527.1	2123.5	3150.3	-562.5	1.023996559
258	40634	2011	Q2	2011.25	15460.9	10662.6	2212.7	3172.5	-586.9	1.0314418
259	40725	2011	Q3	2011.5	15587.1	10778.6	2228.2	3152.7	-572.4	1.03768033
260	40817	2011	Q4	2011.75	15785.3	10878.9	2395.2	3109.3	-598.1	1.039169733
261	40909	2012	Q1	2012	15956.5	11019.1	2445.4	3106.8	-614.8	1.044615385
262	41000	2012	Q2	2012.25	16094.7	11100.2	2489.3	3093.7	-588.5	1.049423931
263	41091	2012	Q3	2012.5	16268.9	11193.6	2500.4	3116.6	-541.7	1.054279289
264	41183	2012	Q4	2012.75	16332.5	11285.5	2481.5	3093.7	-528.2	1.058236197
265	41275	2013	Q1	2013	16502.4	11379.2	2543.3	3107.9	-528	1.06203985
266	41365	2013	Q2	2013.25	16619.2	11427.1	2594.6	3129.5	-532	1.064882806
267	41456	2013	Q3	2013.5	16872.3	11537.7	2708.9	3135.6	-509.9	1.069227308
268	41548	2013	Q4	2013.75	17078.3	11662.2	2745.2	3133.8	-462.9	1.073013659
269	41640	2014	Q1	2014	17044	11731.5	2714.4	3136.1	-538	1.076574215
270	41730	2014	Q2	2014.25	17294.7	NA	2829.3	NA	-564	1.081885685
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
